date_time,video_id,video_url,title,thumbnail_url,view_count,post_time_text
2023-03-10 00:33:44.351737,TCblpDaKh7A,https://www.youtube.com/watch?v=TCblpDaKh7A,Happy New Year 2021 Wishing Script Website - For Blogger Adsense - Whatsapp Viral Script,https://i.ytimg.com/vi/TCblpDaKh7A/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAfqbKMY7Gk8qfb6Efuwux1Ouv8IA,676,2 years ago
2023-03-10 00:33:44.351737,mEguTxFPf30,https://www.youtube.com/watch?v=mEguTxFPf30,YouTube Studio not opening in Google Chrome | How to fix YouTube Studio not open in Chrome,https://i.ytimg.com/vi/mEguTxFPf30/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD9p7fmxaGJrsz74r39Iv6bTZB-qw,161,1 year ago
2023-03-10 00:33:44.351737,3h0XuohC2E4,https://www.youtube.com/watch?v=3h0XuohC2E4,KineMaster Video Encoding Warning Problem | How to Solve this Encoding Warning in Kinemaster - Error,https://i.ytimg.com/vi/3h0XuohC2E4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDRidJkHOnBJbw0yhBgREa2d6CJGg,1396,1 year ago
2023-03-10 00:33:44.351737,1UL0IE44ync,https://www.youtube.com/watch?v=1UL0IE44ync,How to Delete Adsense Account Permanently 2021 - Adsense Account Delete kaise kare - Close Adsense,https://i.ytimg.com/vi/1UL0IE44ync/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAJyfVyF1-G9dvPJdvWMdobZ1bf_w,210,1 year ago
2023-03-10 00:33:44.351737,u5YjJri1RAA,https://www.youtube.com/watch?v=u5YjJri1RAA,How to Enable Monetization on YouTube 2021 | YouTube Channel Monetize kaise kare in mobile,https://i.ytimg.com/vi/u5YjJri1RAA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCK-xziBVEXtBvuEfd4MojuIkEZ0A,218,1 year ago
2023-03-10 00:55:54.246200,dLhIlp_ahGQ,https://www.youtube.com/watch?v=dLhIlp_ahGQ,PW Launching NEET PG 🔥🔥 @PWMedEd,https://i.ytimg.com/vi/dLhIlp_ahGQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBfPe5s_3kX-hz6GKdL00p5aHoJSg,469435,1 month ago
2023-03-10 00:55:54.246200,f8nV6acWTv4,https://www.youtube.com/watch?v=f8nV6acWTv4,SHUNYA SE ALAKH TAK - Official Teaser | RELEASING on 10 Million 🚀 ft. @Alakh.Pandey,https://i.ytimg.com/vi/f8nV6acWTv4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDxiZYB8fRQ-rv62AZLSBN4BoDksA,1493324,1 month ago
2023-03-10 00:55:54.246200,b4gM-03VDZg,https://www.youtube.com/watch?v=b4gM-03VDZg,The World's Biggest EDUCATIONAL FESTIVAL is Back 🚀 Check Description !!,https://i.ytimg.com/vi/b4gM-03VDZg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCgqU_6Z0UmsiHfi6ikqgSXPkC7SQ,306645,2 weeks ago
2023-03-10 00:55:54.246200,K6vM_j7V2L8,https://www.youtube.com/watch?v=K6vM_j7V2L8,#TyoharTaiyariKa Official Song | Happy Vishwas Diwas ♥️ LIVE Today @8PM,https://i.ytimg.com/vi/K6vM_j7V2L8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCwn7kIaYOEy4Ge1ZevZXm_DPHDow,577712,9 days ago
2023-03-10 00:55:54.246200,HV3AY2iZf2I,https://www.youtube.com/watch?v=HV3AY2iZf2I,NEW WORLD of PhysicsWallah 🤯 Launching KHAZANA | 3D Model | POLL in Class | LIVE Video Call & more.,https://i.ytimg.com/vi/HV3AY2iZf2I/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDJLyt7Ul3ev6sxy-FuXac2yWrhtQ,607261,6 days ago
